iso,region_dev,region_ar6_6,ssp,year,hdi
BDI,ldc,AFR,ssp5,2055,0.601913241
BDI,ldc,AFR,ssp1,2060,0.603908984
BDI,ldc,AFR,ssp2,2060,0.483813525
BDI,ldc,AFR,ssp3,2060,0.313140724
BDI,ldc,AFR,ssp4,2060,0.325131114
BDI,ldc,AFR,ssp5,2060,0.624935213
BDI,ldc,AFR,ssp1,2065,0.625488584
BDI,ldc,AFR,ssp2,2065,0.5036071
BDI,ldc,AFR,ssp3,2065,0.317113222
BDI,ldc,AFR,ssp4,2065,0.331746046
BDI,ldc,AFR,ssp5,2065,0.647352337
BDI,ldc,AFR,ssp1,2070,0.645893166
BDI,ldc,AFR,ssp2,2070,0.523621431
BDI,ldc,AFR,ssp3,2070,0.320735894
BDI,ldc,AFR,ssp4,2070,0.337830507
BDI,ldc,AFR,ssp5,2070,0.668158285
BEL,developed,DEV,ssp1,2030,0.894265821
BEL,developed,DEV,ssp2,2030,0.89228776
BEL,developed,DEV,ssp3,2030,0.842120159
BEL,developed,DEV,ssp4,2030,0.85543476
BEL,developed,DEV,ssp5,2030,0.895328269
BEL,developed,DEV,ssp1,2035,0.90355081
BEL,developed,DEV,ssp2,2035,0.901671639
BEL,developed,DEV,ssp3,2035,0.846125866
BEL,developed,DEV,ssp4,2035,0.862892134
BEL,developed,DEV,ssp5,2035,0.905206114
BEL,developed,DEV,ssp1,2040,0.910964173
BEL,developed,DEV,ssp2,2040,0.90880493
BEL,developed,DEV,ssp3,2040,0.850137167
BEL,developed,DEV,ssp4,2040,0.868169026
BEL,developed,DEV,ssp5,2040,0.913361888
BEL,developed,DEV,ssp1,2045,0.916748227
BEL,developed,DEV,ssp2,2045,0.913361941
BEL,developed,DEV,ssp3,2045,0.853786291
BEL,developed,DEV,ssp4,2045,0.872327858
BEL,developed,DEV,ssp5,2045,0.918965687
BEL,developed,DEV,ssp1,2050,0.919224746
BEL,developed,DEV,ssp2,2050,0.916467632
BEL,developed,DEV,ssp3,2050,0.856528563
BEL,developed,DEV,ssp4,2050,0.875585928
BEL,developed,DEV,ssp5,2050,0.915593981
BEL,developed,DEV,ssp1,2055,0.919124943
BEL,developed,DEV,ssp2,2055,0.917203161
BEL,developed,DEV,ssp3,2055,0.858238814
BEL,developed,DEV,ssp4,2055,0.878065933
BEL,developed,DEV,ssp5,2055,0.910394932
BEL,developed,DEV,ssp1,2060,0.916003923
BEL,developed,DEV,ssp2,2060,0.917256678
BEL,developed,DEV,ssp3,2060,0.860093649
BEL,developed,DEV,ssp4,2060,0.878218112
BEL,developed,DEV,ssp5,2060,0.906420356
BEL,developed,DEV,ssp1,2065,0.913904978
BEL,developed,DEV,ssp2,2065,0.917391085
BEL,developed,DEV,ssp3,2065,0.861969608
BEL,developed,DEV,ssp4,2065,0.878241007
BEL,developed,DEV,ssp5,2065,0.903948536
BEL,developed,DEV,ssp1,2070,0.912386701
BEL,developed,DEV,ssp2,2070,0.917576373
BEL,developed,DEV,ssp3,2070,0.863787533
BEL,developed,DEV,ssp4,2070,0.878083824
BEL,developed,DEV,ssp5,2070,0.902026156
BEN,ldc,AFR,ssp1,2030,0.516640832
BEN,ldc,AFR,ssp2,2030,0.446831295
BEN,ldc,AFR,ssp3,2030,0.377288647
BEN,ldc,AFR,ssp4,2030,0.366426415
BEN,ldc,AFR,ssp5,2030,0.522368432
BEN,ldc,AFR,ssp1,2035,0.547989038
BEN,ldc,AFR,ssp2,2035,0.467153298
BEN,ldc,AFR,ssp3,2035,0.382881113
BEN,ldc,AFR,ssp4,2035,0.372880043
BEN,ldc,AFR,ssp5,2035,0.556975803
BEN,ldc,AFR,ssp1,2040,0.577612718
BEN,ldc,AFR,ssp2,2040,0.486597884
BEN,ldc,AFR,ssp3,2040,0.387794933
BEN,ldc,AFR,ssp4,2040,0.379159554
BEN,ldc,AFR,ssp5,2040,0.590008253
BEN,ldc,AFR,ssp1,2045,0.605519844
BEN,ldc,AFR,ssp2,2045,0.505417819
BEN,ldc,AFR,ssp3,2045,0.39097691
BEN,ldc,AFR,ssp4,2045,0.384143704
BEN,ldc,AFR,ssp5,2045,0.620579406
BEN,ldc,AFR,ssp1,2050,0.629137222
BEN,ldc,AFR,ssp2,2050,0.524341885
BEN,ldc,AFR,ssp3,2050,0.394501898
BEN,ldc,AFR,ssp4,2050,0.389973929
BEN,ldc,AFR,ssp5,2050,0.642568748
BEN,ldc,AFR,ssp1,2055,0.649218038
BEN,ldc,AFR,ssp2,2055,0.541907232
BEN,ldc,AFR,ssp3,2055,0.397968826
BEN,ldc,AFR,ssp4,2055,0.396154138
BEN,ldc,AFR,ssp5,2055,0.660969307
BEN,ldc,AFR,ssp1,2060,0.665503385
BEN,ldc,AFR,ssp2,2060,0.558367459
BEN,ldc,AFR,ssp3,2060,0.400249421
BEN,ldc,AFR,ssp4,2060,0.400220935
BEN,ldc,AFR,ssp5,2060,0.678211616
BEN,ldc,AFR,ssp1,2065,0.680791379
BEN,ldc,AFR,ssp2,2065,0.574806272
BEN,ldc,AFR,ssp3,2065,0.402827576
BEN,ldc,AFR,ssp4,2065,0.404579018
BEN,ldc,AFR,ssp5,2065,0.694513866
BEN,ldc,AFR,ssp1,2070,0.694873146
BEN,ldc,AFR,ssp2,2070,0.590316654
BEN,ldc,AFR,ssp3,2070,0.405770129
BEN,ldc,AFR,ssp4,2070,0.409219764
BEN,ldc,AFR,ssp5,2070,0.70928334
BFA,ldc,AFR,ssp1,2030,0.461649835
BFA,ldc,AFR,ssp2,2030,0.377133349
BFA,ldc,AFR,ssp3,2030,0.257073151
BFA,ldc,AFR,ssp4,2030,0.239350036
BFA,ldc,AFR,ssp5,2030,0.467173669
BFA,ldc,AFR,ssp1,2035,0.494417356
BFA,ldc,AFR,ssp2,2035,0.398415062
BFA,ldc,AFR,ssp3,2035,0.258837657
BFA,ldc,AFR,ssp4,2035,0.241047611
BFA,ldc,AFR,ssp5,2035,0.503546812
BFA,ldc,AFR,ssp1,2040,0.525995109
BFA,ldc,AFR,ssp2,2040,0.420341835
BFA,ldc,AFR,ssp3,2040,0.26247018
BFA,ldc,AFR,ssp4,2040,0.244309805
BFA,ldc,AFR,ssp5,2040,0.539156091
BFA,ldc,AFR,ssp1,2045,0.556234141
BFA,ldc,AFR,ssp2,2045,0.441586318
BFA,ldc,AFR,ssp3,2045,0.26723576
BFA,ldc,AFR,ssp4,2045,0.249183044
BFA,ldc,AFR,ssp5,2045,0.572860681
BFA,ldc,AFR,ssp1,2050,0.581398863
BFA,ldc,AFR,ssp2,2050,0.46345246
BFA,ldc,AFR,ssp3,2050,0.270864548
BFA,ldc,AFR,ssp4,2050,0.253857408
BFA,ldc,AFR,ssp5,2050,0.597509883
